concept,prop_s,label,prob,prob_control,prob_norm
woodpecker,black,pos,7.941538342493004e-07,4.0481495489075314e-07,3.893388793585473e-07
millipede,black,pos,3.214093169390253e-07,4.0481495489075314e-07,-8.340563795172784e-08
peacock,black,neg,1.0067635258792507e-07,4.0481495489075314e-07,-3.041386023028281e-07
dogbane,black,neg,2.6172153866355075e-06,4.0481495489075314e-07,2.2124004317447543e-06
sand,black,neg,6.455369998548122e-07,4.0481495489075314e-07,2.40722044964059e-07
dress,black,pos,4.672704562835861e-06,4.0481495489075314e-07,4.267889607945108e-06
sapsucker,black,pos,1.8665231493741885e-07,4.0481495489075314e-07,-2.181626399533343e-07
snake,black,pos,2.694033298666909e-07,4.0481495489075314e-07,-1.3541162502406223e-07
tar,black,pos,8.905862159735989e-06,4.0481495489075314e-07,8.501047204845236e-06
hair,black,pos,4.701684247265803e-06,4.0481495489075314e-07,4.2968692923750496e-06
radish,black,neg,8.735125902603613e-07,4.0481495489075314e-07,4.686976353696082e-07
gown,black,pos,6.9182242441456765e-06,4.0481495489075314e-07,6.513409289254923e-06
recorder,black,pos,1.272782554906371e-07,4.0481495489075314e-07,-2.7753669940011605e-07
tyre,black,pos,2.2712077907272032e-07,4.0481495489075314e-07,-1.7769417581803282e-07
combretum,black,neg,2.1405408006103244e-06,4.0481495489075314e-07,1.7357258457195712e-06
weed,black,neg,5.543505210425792e-08,4.0481495489075314e-07,-3.493799027864952e-07
acaridae,black,pos,4.951255050400505e-06,4.0481495489075314e-07,4.546440095509752e-06
pupil,black,pos,9.41241523833014e-06,4.0481495489075314e-07,9.007600283439388e-06
fox,black,neg,1.254994401733711e-07,4.0481495489075314e-07,-2.7931551471738203e-07
pit,black,pos,4.1656090843389393e-07,4.0481495489075314e-07,1.1745953543140786e-08
currawong,black,pos,1.789024167919706e-06,4.0481495489075314e-07,1.384209213028953e-06
glass,black,pos,1.4941857671146863e-06,4.0481495489075314e-07,1.0893708122239332e-06
rat,black,pos,4.2738406591524836e-07,4.0481495489075314e-07,2.2569111024495214e-08
supermarket,black,neg,5.072579511988806e-08,4.0481495489075314e-07,-3.540891597708651e-07
cloud,black,pos,2.1812294903611473e-07,4.0481495489075314e-07,-1.866920058546384e-07
balloon,black,pos,3.15985516863293e-07,4.0481495489075314e-07,-8.882943802746013e-08
market,black,pos,7.476885599544403e-08,4.0481495489075314e-07,-3.300460988953091e-07
heart,black,neg,4.0990036609400704e-07,4.0481495489075314e-07,5.085411203253898e-09
dolphin,black,neg,2.810262742514169e-07,4.0481495489075314e-07,-1.2378868063933623e-07
weasel,black,pos,2.314909579581581e-07,4.0481495489075314e-07,-1.7332399693259504e-07
frog,black,neg,3.8542168567801127e-07,4.0481495489075314e-07,-1.939326921274187e-08
cherry,black,pos,9.527947781862167e-07,4.0481495489075314e-07,5.479798232954636e-07
avocado,black,neg,3.9929628314894217e-07,4.0481495489075314e-07,-5.5186717418109765e-09
night,black,pos,7.008084139670245e-07,4.0481495489075314e-07,2.959934590762714e-07
lime,black,neg,5.942475809206371e-07,4.0481495489075314e-07,1.8943262602988398e-07
coatis,black,pos,9.590211448085029e-06,4.0481495489075314e-07,9.185396493194276e-06
beetle,black,pos,2.3310180949920323e-06,4.0481495489075314e-07,1.926203140101279e-06
human,black,pos,2.11834787933185e-07,4.0481495489075314e-07,-1.9298016695756814e-07
onion,black,neg,6.777419230274973e-07,4.0481495489075314e-07,2.729269681367441e-07
opossum,black,pos,2.4808980469970265e-07,4.0481495489075314e-07,-1.567251501910505e-07
football,black,pos,1.2856220088508508e-08,4.0481495489075314e-07,-3.9195873480224463e-07
suit,black,pos,1.6184274753694439e-10,4.0481495489075314e-07,-4.046531121432162e-07
miner,black,pos,4.1522193328091817e-07,4.0481495489075314e-07,1.0406978390165023e-08
rice,black,neg,4.519071978847933e-07,4.0481495489075314e-07,4.7092242994040134e-08
pig,black,pos,3.9016202890707063e-07,4.0481495489075314e-07,-1.4652925983682508e-08
cat,black,pos,4.4253076225686527e-07,4.0481495489075314e-07,3.771580736611213e-08
fir,black,neg,1.663165562604263e-06,4.0481495489075314e-07,1.2583506077135098e-06
echinocereus,black,neg,3.0588998924940825e-06,4.0481495489075314e-07,2.6540849376033293e-06
honey,black,neg,2.340712796922162e-07,4.0481495489075314e-07,-1.7074367519853695e-07
viscacha,black,neg,7.759430786791199e-07,4.0481495489075314e-07,3.711281237883668e-07
butter,black,neg,1.446932458293304e-07,4.0481495489075314e-07,-2.6012170906142273e-07
monkey,black,pos,2.55377841540394e-07,4.0481495489075314e-07,-1.4943711335035914e-07
ketchup,black,neg,1.457346172628604e-07,4.0481495489075314e-07,-2.5908033762789273e-07
toucanet,black,neg,1.885162532744289e-06,4.0481495489075314e-07,1.4803475778535358e-06
beet,black,neg,1.4362965430336772e-06,4.0481495489075314e-07,1.031481588142924e-06
giraffe,black,neg,1.0191777732870833e-07,4.0481495489075314e-07,-3.028971775620448e-07
parrot,black,neg,3.875233289818425e-07,4.0481495489075314e-07,-1.7291625908910646e-08
truffle,black,pos,1.347948568763968e-06,4.0481495489075314e-07,9.431336138732149e-07
jade,black,neg,1.1712083960446762e-06,4.0481495489075314e-07,7.66393441153923e-07
hornet,black,pos,3.0927142802283925e-07,4.0481495489075314e-07,-9.55435268679139e-08
raccoon,black,pos,8.241094207050992e-08,4.0481495489075314e-07,-3.224040128202432e-07
crassula,black,neg,1.2439629699656507e-06,4.0481495489075314e-07,8.391480150748976e-07
pea,black,pos,1.2109090903322794e-06,4.0481495489075314e-07,8.060941354415263e-07
paint,black,pos,4.88267596665537e-06,4.0481495489075314e-07,4.477861011764617e-06
hose,black,pos,5.313346491675475e-07,4.0481495489075314e-07,1.2651969427679433e-07
olive,black,pos,6.185030997585272e-06,4.0481495489075314e-07,5.780216042694519e-06
cockroach,black,pos,2.5267769387937733e-07,4.0481495489075314e-07,-1.521372610113758e-07
paridae,black,pos,5.570519533648621e-06,4.0481495489075314e-07,5.165704578757868e-06
lantern,black,pos,1.0887944199566846e-06,4.0481495489075314e-07,6.839794650659314e-07
bat,black,pos,1.8077743391131662e-07,4.0481495489075314e-07,-2.2403752097943652e-07
tomato,black,neg,7.02032536992192e-07,4.0481495489075314e-07,2.972175821014389e-07
umbrella,black,pos,8.42245412968623e-07,4.0481495489075314e-07,4.3743045807786984e-07
insect,black,pos,2.0224458694428904e-06,4.0481495489075314e-07,1.6176309145521373e-06
bottle,black,neg,6.119670956650225e-07,4.0481495489075314e-07,2.0715214077426936e-07
raspberry,black,neg,5.943876431047102e-07,4.0481495489075314e-07,1.89572688213957e-07
grape,black,pos,5.195238372834865e-07,4.0481495489075314e-07,1.1470888239273336e-07
gherkin,black,neg,2.5927189994945365e-07,4.0481495489075314e-07,-1.455430549412995e-07
blackboard,black,pos,2.3923478238430107e-06,4.0481495489075314e-07,1.9875328689522576e-06
parka,black,pos,5.357353529689135e-06,4.0481495489075314e-07,4.952538574798382e-06
crypt,black,pos,4.398249870973814e-07,4.0481495489075314e-07,3.501003220662824e-08
eye,black,pos,1.5463743920918205e-06,4.0481495489075314e-07,1.1415594372010673e-06
owl,black,pos,5.02036755278823e-07,4.0481495489075314e-07,9.722180038806982e-08
mentzelia,black,neg,1.6465180578961736e-06,4.0481495489075314e-07,1.2417031030054204e-06
forepaw,black,pos,3.305214022475411e-06,4.0481495489075314e-07,2.900399067584658e-06
sheep,black,pos,5.446574391498871e-07,4.0481495489075314e-07,1.3984248425913393e-07
sky,black,pos,4.179908614787564e-07,4.0481495489075314e-07,1.3175906588003272e-08
mussel,black,pos,5.573849080064974e-07,4.0481495489075314e-07,1.5256995311574428e-07
ladybird,black,neg,1.7171053912079515e-07,4.0481495489075314e-07,-2.33104415769958e-07
wine,black,neg,1.981435104880802e-07,4.0481495489075314e-07,-2.0667144440267293e-07
lion,black,neg,8.216450453346624e-08,4.0481495489075314e-07,-3.226504503572869e-07
rhino,black,pos,1.249463110752913e-07,4.0481495489075314e-07,-2.7986864381546184e-07
skunk,black,pos,2.0773477160673792e-07,4.0481495489075314e-07,-1.9708018328401522e-07
car,black,pos,1.251574644811626e-06,4.0481495489075314e-07,8.467596899208729e-07
lizard,black,pos,3.7664378282897815e-07,4.0481495489075314e-07,-2.8171172061774996e-08
pelican,black,pos,7.313668959341157e-08,4.0481495489075314e-07,-3.3167826529734157e-07
lobster,black,neg,2.0533163080926897e-07,4.0481495489075314e-07,-1.9948332408148417e-07
pear,black,neg,4.322086169850081e-06,4.0481495489075314e-07,3.917271214959328e-06
civet,black,pos,5.656499070028076e-06,4.0481495489075314e-07,5.251684115137323e-06
coal,black,pos,3.334184611958335e-06,4.0481495489075314e-07,2.929369657067582e-06
alligator,black,neg,1.0038875331019881e-07,4.0481495489075314e-07,-3.0442620158055433e-07
ring,black,pos,1.8770207361740177e-06,4.0481495489075314e-07,1.4722057812832645e-06
dog,black,pos,2.975112067815644e-07,4.0481495489075314e-07,-1.0730374810918875e-07
rhagoletis,black,pos,1.6714412822693703e-06,4.0481495489075314e-07,1.2666263273786171e-06
cucumber,black,neg,2.7952501113759354e-07,4.0481495489075314e-07,-1.252899437531596e-07
zebra,black,pos,2.86099350432778e-07,4.0481495489075314e-07,-1.1871560445797513e-07
frogmouth,black,neg,3.013690275111003e-06,4.0481495489075314e-07,2.6088753202202497e-06
pipefish,black,pos,1.7262871665479906e-07,4.0481495489075314e-07,-2.3218623823595408e-07
carnation,black,neg,4.306214407279185e-07,4.0481495489075314e-07,2.5806485837165383e-08
bear,black,pos,1.6386086088004959e-07,4.0481495489075314e-07,-2.4095409401070356e-07
lark,black,neg,4.3983206410302955e-08,4.0481495489075314e-07,-3.608317484804502e-07
gorilla,black,pos,3.0836739028927695e-07,4.0481495489075314e-07,-9.644756460147619e-08
milk,black,neg,1.8176828575633408e-07,4.0481495489075314e-07,-2.2304666913441906e-07
aubergine,black,pos,2.8762190140696475e-06,4.0481495489075314e-07,2.4714040591788944e-06
pot,black,pos,8.723653195374936e-07,4.0481495489075314e-07,4.675503646467405e-07
magpie,black,pos,1.419743682617991e-07,4.0481495489075314e-07,-2.6284058662895404e-07
apple,black,neg,6.429792733797512e-07,4.0481495489075314e-07,2.381643184889981e-07
sun,black,neg,3.232634782079913e-08,4.0481495489075314e-07,-3.72488607069954e-07
brick,black,neg,2.1171588286961196e-06,4.0481495489075314e-07,1.7123438738053665e-06
calf,black,pos,7.685331837592457e-08,4.0481495489075314e-07,-3.2796163651482857e-07
leopard,black,pos,8.520881067397568e-08,4.0481495489075314e-07,-3.1960614421677747e-07
pansy,black,neg,5.892989918265812e-08,4.0481495489075314e-07,-3.45885055708095e-07
starling,black,pos,4.215976900923124e-07,4.0481495489075314e-07,1.6782735201559262e-08
penguin,black,pos,2.1416650497485534e-07,4.0481495489075314e-07,-1.906484499158978e-07
nightmare,black,pos,2.6608981684717037e-09,4.0481495489075314e-07,-4.0215405672228144e-07
cider,black,neg,1.4933402781025507e-07,4.0481495489075314e-07,-2.554809270804981e-07
rain,black,neg,4.5711052720776024e-09,4.0481495489075314e-07,-4.0024384961867554e-07
bra,black,pos,5.101363058201969e-06,4.0481495489075314e-07,4.6965481033112155e-06
pyramid,black,neg,1.8817615909938468e-07,4.0481495489075314e-07,-2.1663879579136847e-07
raisin,black,pos,3.852256213576766e-06,4.0481495489075314e-07,3.4474412586860126e-06
buttercup,black,neg,2.411179309547151e-07,4.0481495489075314e-07,-1.6369702393603802e-07
bird,black,pos,4.297312159451394e-07,4.0481495489075314e-07,2.491626105438627e-08
corn,black,neg,2.4062168790806027e-07,4.0481495489075314e-07,-1.6419326698269288e-07
housefly,black,pos,1.0363736464569229e-06,4.0481495489075314e-07,6.315586915661697e-07
coffee,black,pos,5.147532533555932e-07,4.0481495489075314e-07,1.0993829846484005e-07
crow,black,pos,1.5291935540062696e-07,4.0481495489075314e-07,-2.518955994901262e-07
jean,black,pos,1.847972384894092e-06,4.0481495489075314e-07,1.443157430003339e-06
oven,black,pos,5.250942081147514e-08,4.0481495489075314e-07,-3.52305534079278e-07
crocodile,black,pos,1.1840940317142667e-07,4.0481495489075314e-07,-2.8640555171932647e-07
cow,black,pos,2.191979291410462e-07,4.0481495489075314e-07,-1.8561702574970695e-07
rabbit,black,pos,3.671547688099963e-07,4.0481495489075314e-07,-3.766018608075683e-08
flower,black,neg,1.3909379958931822e-06,4.0481495489075314e-07,9.86123041002429e-07
potoroo,black,pos,8.661286301503424e-07,4.0481495489075314e-07,4.613136752595892e-07
stocking,black,pos,7.357426312637472e-08,4.0481495489075314e-07,-3.312406917643784e-07
