concept,prop_s,label,prob,prob_control
world,green,pos,5.285178517056011e-09,7.147102678572992e-07
night,green,neg,9.499690634129365e-08,7.147102678572992e-07
avocado,green,pos,1.2770373359671794e-05,7.147102678572992e-07
salad,green,pos,3.919558821507962e-06,7.147102678572992e-07
plantain,green,pos,4.336019264883362e-05,7.147102678572992e-07
chive,green,pos,4.158784940955229e-05,7.147102678572992e-07
diamond,green,neg,2.8828026188421063e-06,7.147102678572992e-07
grapefruit,green,pos,3.23377680615522e-05,7.147102678572992e-07
melon,green,pos,2.7403992135077715e-05,7.147102678572992e-07
asparagus,green,pos,1.0173996088269632e-05,7.147102678572992e-07
wine,green,neg,1.037520746649534e-06,7.147102678572992e-07
dress,green,pos,3.839280452666571e-06,7.147102678572992e-07
pear,green,pos,6.603509245906025e-05,7.147102678572992e-07
radish,green,pos,1.7740410839905962e-05,7.147102678572992e-07
aubergine,green,neg,3.4983826481038705e-05,7.147102678572992e-07
giraffe,green,neg,2.307598521156251e-07,7.147102678572992e-07
grape,green,pos,1.2222895747981966e-05,7.147102678572992e-07
sycamore,green,pos,2.7916361432289705e-05,7.147102678572992e-07
mushroom,green,neg,5.462366061692592e-06,7.147102678572992e-07
tank,green,pos,5.629566999232338e-07,7.147102678572992e-07
lion,green,neg,9.27267436168222e-08,7.147102678572992e-07
tongue,green,neg,7.593675945827272e-06,7.147102678572992e-07
brick,green,neg,4.080884082213743e-06,7.147102678572992e-07
piano,green,neg,7.697132673456508e-07,7.147102678572992e-07
cherry,green,neg,1.991453927985276e-06,7.147102678572992e-07
budgie,green,pos,5.998558663122822e-07,7.147102678572992e-07
lime,green,pos,2.6295470888726413e-05,7.147102678572992e-07
garlic,green,neg,5.233274350757711e-06,7.147102678572992e-07
eucalyptus,green,pos,0.00014446942077483982,7.147102678572992e-07
glass,green,pos,4.271047600923339e-06,7.147102678572992e-07
buttercup,green,neg,1.654140760365408e-06,7.147102678572992e-07
stocking,green,pos,2.2174511116190843e-07,7.147102678572992e-07
guava,green,pos,5.234342461335473e-05,7.147102678572992e-07
seaweed,green,pos,5.289681939757429e-05,7.147102678572992e-07
lavandula,green,neg,2.9865370379411615e-05,7.147102678572992e-07
argument,green,neg,9.371563578497444e-07,7.147102678572992e-07
flame,green,neg,3.605178790166974e-06,7.147102678572992e-07
iguana,green,pos,4.867279130849056e-07,7.147102678572992e-07
sand,green,neg,1.0198037898589973e-06,7.147102678572992e-07
cricket,green,pos,1.9717528232376935e-07,7.147102678572992e-07
rhubarb,green,pos,7.425342118949629e-06,7.147102678572992e-07
