concept,prop_s,label,prob,prob_control
trawler,wheels,neg,2.623831585747269e-28,2.8762082382581917e-27
jeep,wheels,pos,1.815646958725745e-27,2.8762082382581917e-27
bus,wheels,pos,9.46166818625678e-28,2.8762082382581917e-27
oxcart,wheels,pos,6.76780497290673e-28,2.8762082382581917e-27
sleigh,wheels,neg,5.8886246940487625e-28,2.8762082382581917e-27
motorcycle,wheels,pos,2.7849567145281523e-27,2.8762082382581917e-27
streamliner,wheels,pos,4.621784569299782e-28,2.8762082382581917e-27
minivan,wheels,pos,2.3148874818747765e-27,2.8762082382581917e-27
sidecar,wheels,pos,5.915529453889366e-28,2.8762082382581917e-27
chassis,wheels,pos,3.2562017274125765e-27,2.8762082382581917e-27
tram,wheels,pos,5.565710279545674e-28,2.8762082382581917e-27
wagon,wheels,pos,5.020533919810576e-28,2.8762082382581917e-27
truck,wheels,pos,1.2752422830208614e-27,2.8762082382581917e-27
backhoe,wheels,pos,2.390961618381575e-28,2.8762082382581917e-27
heap,wheels,neg,4.558580267053357e-27,2.8762082382581917e-27
windshield,wheels,neg,2.3133415860566655e-28,2.8762082382581917e-27
train,wheels,pos,1.1709488431899177e-27,2.8762082382581917e-27
racer,wheels,pos,5.177551136316579e-28,2.8762082382581917e-27
piton,wheels,neg,4.665327437929947e-28,2.8762082382581917e-27
stanhope,wheels,pos,5.167821338237535e-28,2.8762082382581917e-27
phaeton,wheels,pos,7.994757644059993e-28,2.8762082382581917e-27
bike,wheels,pos,2.772308554804378e-27,2.8762082382581917e-27
auto,wheels,pos,1.4344040225199391e-27,2.8762082382581917e-27
bicycle,wheels,pos,2.5125481757761663e-27,2.8762082382581917e-27
ship,wheels,neg,8.938398798156601e-28,2.8762082382581917e-27
lorry,wheels,pos,3.724171214944084e-28,2.8762082382581917e-27
wheelbase,wheels,pos,5.748313090176872e-27,2.8762082382581917e-27
diesel,wheels,neg,4.447434946259267e-28,2.8762082382581917e-27
ambulance,wheels,pos,4.970881519914329e-28,2.8762082382581917e-27
hearse,wheels,pos,3.3539181646316864e-28,2.8762082382581917e-27
