,bert-base-uncased,bert-large-uncased,roberta-base,roberta-large
square,-1.8322593597633285,-1.728213058265658,-3.1179101147890025,-1.8037353265274536
swim,-0.6934987275677371,0.5897211393077831,-0.5413386002056109,-0.36839504872790485
roll,-0.6580371934650926,-0.6651585752041347,-0.4178159950678988,-0.9239910770349078
black,-0.5344418775349068,-0.4560087685162181,-0.7690101385991557,-0.2759713523947058
round,-0.4572556342225469,-0.29328544709163396,-1.0527635864341924,-0.34648379702625354
juicy,-0.2230540570878845,0.18462965951083232,-0.3221572810141282,-0.8769483614497613
red,-0.20626072494947767,-0.18142417166660824,-0.43199168011566247,-0.22361449740745487
cold,-0.02827002662072786,-0.7279412588409457,0.6180718131795881,-0.27483712839300223
sweet,-0.014687172431583573,0.39596372688990056,0.8808574791474584,0.680021676658098
yellow,0.006896846337481777,-0.15089014581905014,-0.7169191485020239,-0.6117133743719596
blue,0.06911851532653657,-0.057620442560371465,-0.15780397589709327,0.13109086789484925
made_of_wood,0.10759532707658004,0.3994828068852547,0.1014153931374614,0.5360027349149792
fly,0.11018876590576876,0.5100281233654544,-0.8064919021701429,-0.7780239579700678
dangerous,0.2852011988837161,0.13761607479718851,-0.6905385872681264,-0.708702566355202
warm,0.3382782819766845,0.1805548406829729,0.11704818059376976,0.29562740508222585
lay_eggs,0.3597805617237043,0.3519966446772871,-1.4952890838205681,0.1575647886502704
green,0.6024664051357743,0.7345910894787302,1.2772635432223627,1.2119763435845323
wheels,0.7060845257291515,1.639226297539743,-0.10389452692851708,-0.6506552099079885
hot,0.7839768722000031,0.8274671938505307,0.02706358040354795,0.18874099960803847
wings,1.6188440219365354,1.3681916467870807,0.6248373920502299,-0.057834378956124866
female,2.170500576768858,1.784088048884271,-0.45625521795287627,-1.2668814914380269
used_in_cooking,2.357812941965401,2.4781927168315274,2.768980988896801,1.8500653697357734
