concept,prop_s,label,prob,prob_control,prob_norm
woodpecker,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
millipede,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
peacock,-,neg,7.556771379313432e-06,3.0437427085416857e-06,4.513028670771746e-06
dogbane,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
sand,-,neg,2.871538299586973e-06,6.965296506677987e-06,-4.093758207091014e-06
dress,-,pos,3.0663413781439885e-05,4.799257658305578e-05,-1.7329162801615894e-05
sapsucker,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
snake,-,pos,0.00022654558415524662,0.00020342945936135948,2.311612479388714e-05
tar,-,pos,0.00023477933427784592,1.6565525584155694e-05,0.00021821380869369023
hair,-,pos,0.003167112823575735,7.494830060750246e-05,0.0030921645229682326
radish,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
gown,-,pos,2.8704216674668714e-05,1.1160050235048402e-05,1.7544166439620312e-05
recorder,-,pos,2.010034449995146e-06,3.400077184778638e-05,-3.1990737397791236e-05
tyre,-,pos,7.065722229526727e-07,1.4938276535758632e-06,-7.872554306231905e-07
combretum,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
weed,-,neg,5.258103101368761e-06,4.258754779584706e-05,-3.73294446944783e-05
acaridae,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
pupil,-,pos,0.004019611049443483,0.00010236819798592478,0.003917242851457559
fox,-,neg,4.337603968451731e-05,7.802406616974622e-05,-3.464802648522891e-05
pit,-,pos,1.055963548424188e-05,7.162421388784423e-05,-6.106457840360235e-05
currawong,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
glass,-,pos,8.282347698695958e-05,0.00026894157053902745,-0.00018611809355206788
rat,-,pos,1.8085902411257848e-06,2.40418717112334e-06,-5.95596929997555e-07
supermarket,-,neg,6.041713618287758e-07,1.414674989064224e-05,-1.3542578528813465e-05
cloud,-,pos,0.00019452034030109644,0.00010158037184737623,9.293996845372021e-05
balloon,-,pos,5.339138624549378e-06,1.0131459930562414e-05,-4.7923213060130365e-06
market,-,pos,6.035341812093975e-06,0.0003459514700807631,-0.0003399161282686691
heart,-,neg,0.0006282466347329319,0.00012616727326530963,0.0005020793614676222
dolphin,-,neg,5.927580559728085e-07,1.6696237707947148e-06,-1.0768657148219063e-06
weasel,-,pos,2.533332406073896e-07,6.5855101638589986e-06,-6.332176923251609e-06
frog,-,neg,3.6717363400384784e-05,7.769783405819908e-05,-4.0980470657814294e-05
cherry,-,pos,7.480854401364923e-05,7.641209231223911e-05,-1.6035482985898852e-06
avocado,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
night,-,pos,0.00010505785758141428,0.00011077665112679824,-5.71879354538396e-06
lime,-,neg,3.1165217251327704e-07,4.127112788410159e-06,-3.815460615896882e-06
coatis,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
beetle,-,pos,0.00015838532999623567,0.00032914127223193645,-0.00017075594223570079
human,-,pos,2.0335466615506448e-05,0.00023630120267625898,-0.00021596573606075253
onion,-,neg,5.76124875806272e-06,7.323174213524908e-05,-6.747049337718636e-05
opossum,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
football,-,pos,3.969682893512072e-06,3.6675981391454116e-05,-3.2706298497942043e-05
suit,-,pos,0.00019186176359653473,9.842433064477518e-05,9.343743295175955e-05
miner,-,pos,3.3298823836958036e-05,1.9824561604764313e-05,1.3474262232193723e-05
rice,-,neg,7.856427146180067e-06,3.768590249819681e-05,-2.9829475352016743e-05
pig,-,pos,4.985547548130853e-07,1.0728473171184305e-05,-1.022991841637122e-05
cat,-,pos,6.565245712408796e-05,0.0001722123270155862,-0.00010655986989149824
fir,-,neg,2.7186169972992502e-06,0.00010418200690764934,-0.00010146338991035009
echinocereus,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
honey,-,neg,8.594568498665467e-05,0.00011575617827475071,-2.981049328809604e-05
viscacha,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
butter,-,neg,2.264686827402329e-06,5.475007856148295e-05,-5.248539173408062e-05
monkey,-,pos,8.67176254359947e-07,9.080552445084322e-06,-8.213376190724375e-06
ketchup,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
toucanet,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
beet,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
giraffe,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
parrot,-,neg,3.795591328525916e-05,3.5025681427214295e-05,2.9302318580448627e-06
truffle,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
jade,-,neg,1.8960587340188795e-06,1.8863664763557608e-06,9.692257663118653e-09
hornet,-,pos,2.5743104288267205e-06,2.780810746116913e-06,-2.0650031729019247e-07
raccoon,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
crassula,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
pea,-,pos,6.1910586737212725e-06,8.830616025079507e-06,-2.639557351358235e-06
paint,-,pos,4.436835661181249e-05,2.128549022017978e-05,2.3082866391632706e-05
hose,-,pos,8.22318543214351e-06,3.2675839065632317e-06,4.955601525580278e-06
olive,-,pos,2.9417427867883816e-05,1.217926819663262e-05,1.7238159671251196e-05
cockroach,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
paridae,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
lantern,-,pos,9.049745131051168e-05,2.5591389203327708e-05,6.490606210718397e-05
bat,-,pos,0.00016083105583675206,3.771324918488972e-05,0.00012311780665186234
tomato,-,neg,2.3369300379272318e-06,3.022637974936515e-05,-2.788944971143792e-05
umbrella,-,pos,1.0155262089028838e-06,1.1828831247839844e-06,-1.6735691588110058e-07
insect,-,pos,8.79168146639131e-05,0.00023201752628665417,-0.00014410071162274107
bottle,-,neg,3.08187045447994e-05,0.00017144616867881268,-0.00014062746413401328
raspberry,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
grape,-,pos,1.1255518984398805e-05,0.00012059293658239767,-0.00010933741759799886
gherkin,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
blackboard,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
parka,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
crypt,-,pos,0.0002611537929624319,0.00017805839888751507,8.309539407491684e-05
eye,-,pos,0.005750443320721388,2.4289258362841792e-05,0.005726154062358546
owl,-,pos,4.139168231631629e-05,8.177214476745576e-05,-4.0380462451139465e-05
mentzelia,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
forepaw,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
sheep,-,pos,2.0133936686761444e-06,1.9172193788108416e-05,-1.715880011943227e-05
sky,-,pos,0.0003234650648664683,0.00018363936396781355,0.00013982570089865476
mussel,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
ladybird,-,neg,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
wine,-,neg,5.427325959317386e-06,6.859507266199216e-05,-6.316774670267478e-05
lion,-,neg,2.4522660169168375e-05,3.9910009945742786e-05,-1.538734977657441e-05
rhino,-,pos,3.193192242179066e-05,4.483212251216173e-05,-1.2900200090371072e-05
skunk,-,pos,5.915994734095875e-06,1.1757822903746273e-05,-5.841828169650398e-06
car,-,pos,0.0006275876658037305,0.0007336970884352922,-0.00010610942263156176
lizard,-,pos,9.27417931961827e-06,0.00018951534002553672,-0.00018024116070591845
