concept,prop_s,label,prob,prob_control,prob_norm
radish,yellow,neg,9.39948731684126e-05,1.1757822903746273e-05,8.223705026466632e-05
boot,yellow,neg,3.0892266522641876e-07,5.607545858765661e-07,-2.5183192065014737e-07
huckleberry,yellow,neg,9.39948731684126e-05,1.1757822903746273e-05,8.223705026466632e-05
piano,yellow,neg,9.473848876950797e-06,3.466955604380928e-05,-2.5195707166858483e-05
grape,yellow,neg,1.4175656133375014e-06,0.00012059293658239767,-0.00011917537096906017
bean,yellow,neg,8.97568838809093e-07,2.7045314709539525e-05,-2.6147745870730432e-05
chocolate,yellow,neg,1.1748031283786986e-05,1.5769908713991754e-05,-4.021877430204768e-06
salad,yellow,neg,8.691823722983827e-07,2.3211976440506987e-05,-2.2342794068208605e-05
brick,yellow,neg,8.051473741943482e-06,5.1830869779223576e-05,-4.3779396037280094e-05
herb,yellow,neg,3.5212999591749394e-06,7.149141310947016e-05,-6.797011315029522e-05
lime,yellow,neg,7.47888464047719e-07,4.127112788410159e-06,-3.37922432436244e-06
bee,yellow,pos,2.444990514050005e-06,2.864122870960273e-05,-2.6196238195552723e-05
daffodil,yellow,pos,9.39948731684126e-05,1.1757822903746273e-05,8.223705026466632e-05
car,yellow,neg,1.0848529200302437e-05,0.0007336970884352922,-0.0007228485592349898
cheetah,yellow,pos,9.39948731684126e-05,1.1757822903746273e-05,8.223705026466632e-05
berry,yellow,neg,5.782638709206367e-06,9.732752914715093e-06,-3.950114205508726e-06
clarinet,yellow,neg,1.247649265678774e-06,2.3163811420090497e-06,-1.0687318763302756e-06
frog,yellow,neg,1.227912662216113e-06,7.769783405819908e-05,-7.646992139598296e-05
emerald,yellow,neg,3.5584650959208375e-06,1.1641871424217243e-05,-8.083406328296405e-06
serviceberry,yellow,neg,9.39948731684126e-05,1.1757822903746273e-05,8.223705026466632e-05
cricket,yellow,neg,3.50700315721042e-06,1.2985712601221167e-05,-9.478709444010747e-06
walnut,yellow,neg,5.627491077575542e-07,1.9221870388719253e-06,-1.3594379311143712e-06
bus,yellow,pos,8.987573892227374e-06,2.2500425984617323e-05,-1.3512852092389949e-05
