concept,prop_s,label,prob,prob_control,prob_norm
velocipede,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
shark,flew,neg,4.2192441469524056e-05,9.122851770371199e-05,-4.903607623418793e-05
marabou,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
penguin,flew,neg,1.1412043932068627e-05,0.00038987360312603414,-0.0003784615591939655
plane,flew,pos,0.00016060411871876568,4.362608160590753e-05,0.00011697803711285815
ship,flew,neg,9.266431152354926e-05,0.00025960904895327985,-0.0001669447374297306
lemur,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
owl,flew,pos,1.5756144421175122e-05,0.00010639778338372707,-9.064163896255195e-05
giraffe,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
damselfish,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
stallion,flew,neg,6.951907835173188e-06,1.8067561541101895e-05,-1.1115653705928707e-05
phaeton,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
vulture,flew,pos,6.739735908922739e-06,0.00017790183483157307,-0.00017116209892265033
woodpecker,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
helicopter,flew,pos,1.1358925803506281e-05,1.8475968317943625e-05,-7.117042514437344e-06
chow,flew,neg,1.0135586308024358e-06,7.2724142228253186e-06,-6.258855592022883e-06
ostrich,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
mammal,flew,neg,3.2421908144897316e-06,2.6923516998067498e-05,-2.3681326183577767e-05
watchdog,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
quail,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
autogyro,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
clarence,flew,neg,6.864588158350671e-06,1.654564039199613e-05,-9.68105223364546e-06
groundhog,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
crow,flew,pos,1.1710105809470406e-06,0.00014646028284914792,-0.00014528927226820088
lion,flew,neg,5.413518738350831e-05,0.0002576386323198676,-0.0002035034449363593
tiger,flew,neg,4.736801201943308e-05,0.00035113244666717947,-0.0003037644346477464
toy,flew,pos,2.2018361050868407e-05,0.00020505933207459748,-0.00018304097102372907
loon,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
saloon,flew,neg,2.7823043637908995e-05,1.1682668628054671e-05,1.6140375009854324e-05
steamer,flew,neg,6.4799583014973905e-06,4.09119384130463e-05,-3.443198011154891e-05
sausage,flew,neg,3.0234405130613595e-06,2.019566272792872e-05,-1.717222221486736e-05
forklift,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
wren,flew,pos,2.0837353531533154e-06,6.843460141681135e-06,-4.759724788527819e-06
craft,flew,pos,1.0250569175696e-05,3.33151692757383e-05,-2.30646001000423e-05
puffin,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
bomber,flew,pos,2.582384240668034e-06,1.892186264740303e-05,-1.6339478406734997e-05
butterfly,flew,pos,1.9094861272606067e-05,0.00032245551119558513,-0.00030336064992297906
pheasant,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
minesweeper,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
tractor,flew,neg,6.305815986706875e-06,2.3857030100771226e-05,-1.755121411406435e-05
budgie,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
minnow,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
kite,flew,pos,3.485392426227918e-06,3.471111267572269e-05,-3.122572024949477e-05
schooner,flew,neg,1.1500091204652563e-05,4.821243055630475e-05,-3.671233935165219e-05
yellowhammer,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
coupe,flew,neg,1.6718678352845018e-06,4.592265668179607e-06,-2.9203978328951052e-06
pigeon,flew,pos,9.766666153154802e-06,0.00010766849300125614,-9.790182684810134e-05
gnu,flew,neg,8.116225217236206e-06,5.626612255582586e-05,-4.814989733858965e-05
moorcock,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
sunfish,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
amberjack,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
snowbird,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
carrier,flew,neg,2.424445301585365e-05,2.3930244424263947e-05,3.1420859158970416e-07
turtle,flew,neg,1.4556358109985013e-05,5.593692185357213e-05,-4.138056374358712e-05
