,bert-base-uncased,bert-large-uncased,roberta-base,roberta-large
juicy,-0.001237644172395599,-0.0012690014603047015,-1.111477078384393e-07,-3.0501798953253005e-06
made_of_wood,-0.0005268815421917121,-0.0015147869396425525,-1.1232276832541362e-07,-1.4390501269695553e-05
sweet,-0.0003241173399647975,-0.0010505710057229672,-1.670661286256501e-07,-8.303312560887013e-06
fly,-0.00025351254941714525,-0.00011180502486922704,-1.2634913194517483e-07,-3.569759572333297e-06
round,-0.00023925582247106333,-5.7484988574897406e-05,-8.427966398505888e-08,-1.2134389642136677e-05
roll,-0.000114402615191959,-6.472541145689564e-05,-1.2179496415970487e-07,-2.097725809534207e-06
square,-9.877872757386404e-05,-0.00015892357601369258,-7.46355253098217e-07,-6.859201567942474e-05
warm,-9.185412825626319e-05,-0.00018757354375140362,-5.599391614064911e-08,-1.0685286513899742e-05
black,-7.672191774446864e-05,-5.023432501119663e-05,-2.3617249046554356e-07,-4.94300074519675e-06
red,-7.592011888596449e-05,-0.00016757946403556253,-1.7625721294939012e-07,-4.254880297266475e-06
lay_eggs,-5.269621837379847e-05,-4.4113863808666255e-05,-2.803038587342374e-06,-2.646656254839516e-05
swim,-2.1987682830957743e-05,-8.302473735341174e-06,-1.069937107263471e-07,-1.2470086547177312e-06
green,-2.154045359083464e-05,-2.5435293576334442e-06,-6.269198238834351e-08,-8.431808731561748e-06
hot,-1.4628210473401331e-05,5.459635839810727e-05,-1.2434588879133665e-07,-1.5359153868153665e-05
cold,-1.190130497879735e-05,-0.00010851769902180683,-4.585634299970996e-07,-7.105470834763614e-06
yellow,-9.06732777565712e-06,-2.1976672586823686e-05,-5.205619586403347e-08,-7.655616230636403e-06
wings,-8.711966206869563e-06,-1.1405479982730025e-05,-2.557039928662079e-07,1.8668717055252244e-07
dangerous,-1.6140320712639542e-06,4.876936409865161e-05,-6.419471986844294e-08,-5.385853077915061e-07
blue,0.00010248722016950574,-2.9481387149563748e-05,-1.788103041389962e-07,-2.4797551932661826e-07
used_in_cooking,0.00014204491042139867,9.611890866866263e-05,-5.004201457314988e-09,-2.8236346135614745e-07
wheels,0.0002379305757578701,-0.004515505267861052,-5.441978858997325e-08,-1.3323030449213617e-06
female,0.0005901848288189684,0.0005501978477614562,-5.959350927862616e-07,-4.552244972556632e-06
