concept,prop_s,label,prob,prob_control
lorry,wings,neg,1.2863793017459102e-05,0.00018941641610581428
vireo,wings,pos,0.0006335995276458561,0.00018941641610581428
beetle,wings,pos,0.14275257289409637,0.00018941641610581428
catbird,wings,pos,0.04707450419664383,0.00018941641610581428
albatross,wings,pos,0.029679710045456886,0.00018941641610581428
oxcart,wings,neg,0.0010267971083521843,0.00018941641610581428
drone,wings,pos,0.0005616251728497446,0.00018941641610581428
peregrine,wings,pos,0.007411689031869173,0.00018941641610581428
crake,wings,pos,0.001533040194772184,0.00018941641610581428
sedan,wings,neg,0.004495812114328146,0.00018941641610581428
bird,wings,pos,0.27116304636001587,0.00018941641610581428
soldier,wings,neg,0.00013027293607592583,0.00018941641610581428
quail,wings,pos,0.007080980110913515,0.00018941641610581428
snowplow,wings,neg,0.00024582442711107433,0.00018941641610581428
amphibian,wings,neg,0.002252393402159214,0.00018941641610581428
sawfly,wings,pos,0.03255153074860573,0.00018941641610581428
chicken,wings,pos,0.005995224695652723,0.00018941641610581428
cat,wings,neg,0.011796419508755207,0.00018941641610581428
scooter,wings,neg,0.001082200207747519,0.00018941641610581428
railcar,wings,neg,0.00010012518032453954,0.00018941641610581428
parachute,wings,neg,0.00012117353617213666,0.00018941641610581428
canary,wings,pos,0.09873725473880768,0.00018941641610581428
merganser,wings,pos,0.003865619655698538,0.00018941641610581428
sparrow,wings,pos,0.3126686215400696,0.00018941641610581428
subcompact,wings,neg,0.00518238078802824,0.00018941641610581428
nightingale,wings,pos,0.1111171692609787,0.00018941641610581428
mosquito,wings,pos,0.0059327478520572186,0.00018941641610581428
accentor,wings,pos,0.0031069256365299225,0.00018941641610581428
pickup,wings,neg,0.0019181318348273635,0.00018941641610581428
boxcar,wings,neg,0.0002002409310080111,0.00018941641610581428
motorcycle,wings,neg,0.0007097475463524461,0.00018941641610581428
eagle,wings,pos,0.7559546232223511,0.00018941641610581428
emperor,wings,neg,0.0001729011710267514,0.00018941641610581428
stroller,wings,neg,0.00028155953623354435,0.00018941641610581428
saloon,wings,neg,0.00045371410669758916,0.00018941641610581428
jackdaw,wings,pos,0.00326556246727705,0.00018941641610581428
damselfly,wings,pos,0.226669043302536,0.00018941641610581428
cricket,wings,pos,5.121763388160616e-05,0.00018941641610581428
hearse,wings,neg,1.9064867956331e-05,0.00018941641610581428
owl,wings,pos,0.17877347767353058,0.00018941641610581428
fowl,wings,pos,0.013816549442708492,0.00018941641610581428
limousine,wings,neg,8.440141755272634e-06,0.00018941641610581428
archaeopteryx,wings,pos,0.04224897921085358,0.00018941641610581428
cab,wings,neg,0.001050395891070366,0.00018941641610581428
airliner,wings,pos,0.0016328038182109594,0.00018941641610581428
silverfish,wings,neg,0.01950850896537304,0.00018941641610581428
caboose,wings,neg,0.0003266267594881356,0.00018941641610581428
zeppelin,wings,neg,0.001425392460078001,0.00018941641610581428
marabou,wings,pos,0.0005141998408362269,0.00018941641610581428
wren,wings,pos,0.004144275560975075,0.00018941641610581428
flatcar,wings,neg,0.0011282478226348758,0.00018941641610581428
currawong,wings,pos,0.00025140761863440275,0.00018941641610581428
gnat,wings,pos,0.305356502532959,0.00018941641610581428
sheldrake,wings,pos,0.00015066713967826217,0.00018941641610581428
skylark,wings,pos,0.0007389772799797356,0.00018941641610581428
jeep,wings,neg,0.00031816342379897833,0.00018941641610581428
diver,wings,neg,0.006798536516726017,0.00018941641610581428
diner,wings,neg,6.275693158386275e-05,0.00018941641610581428
jet,wings,pos,0.0015289477305486798,0.00018941641610581428
worker,wings,neg,0.0007421416230499744,0.00018941641610581428
tropicbird,wings,pos,0.085518978536129,0.00018941641610581428
forklift,wings,neg,8.434636401943862e-05,0.00018941641610581428
petrel,wings,pos,0.03582111746072769,0.00018941641610581428
pushcart,wings,neg,0.004132216330617666,0.00018941641610581428
admiral,wings,neg,8.214134140871465e-05,0.00018941641610581428
racer,wings,neg,0.009088082239031792,0.00018941641610581428
viceroy,wings,neg,4.352763789938763e-05,0.00018941641610581428
megapode,wings,pos,0.006183964665979147,0.00018941641610581428
velocipede,wings,neg,0.03603861853480339,0.00018941641610581428
weka,wings,pos,0.0007095994078554213,0.00018941641610581428
bat,wings,pos,0.30877816677093506,0.00018941641610581428
mealybug,wings,pos,0.010146262124180794,0.00018941641610581428
merle,wings,neg,0.007968475110828876,0.00018941641610581428
limo,wings,neg,4.7190515033435076e-05,0.00018941641610581428
tricycle,wings,neg,0.04174535349011421,0.00018941641610581428
crow,wings,pos,0.21220847964286804,0.00018941641610581428
pochard,wings,pos,0.0009226033580489457,0.00018941641610581428
grasshopper,wings,pos,0.1352362036705017,0.00018941641610581428
copper,wings,neg,6.335973739624023e-05,0.00018941641610581428
stilt,wings,pos,8.766155951889232e-05,0.00018941641610581428
roach,wings,pos,0.006597551982849836,0.00018941641610581428
spoonbill,wings,pos,0.07835757732391357,0.00018941641610581428
engine,wings,neg,0.0002877540828194469,0.00018941641610581428
tit,wings,pos,0.004967752378433943,0.00018941641610581428
moth,wings,pos,0.13356171548366547,0.00018941641610581428
clarence,wings,neg,0.002808238612487912,0.00018941641610581428
trogon,wings,pos,0.007955711334943771,0.00018941641610581428
wagon,wings,neg,0.000705658458173275,0.00018941641610581428
tortrix,wings,pos,0.06287770718336105,0.00018941641610581428
locomotive,wings,neg,0.0010263706790283322,0.00018941641610581428
automobile,wings,neg,0.0004888714756816626,0.00018941641610581428
ant,wings,neg,0.27135470509529114,0.00018941641610581428
grosbeak,wings,pos,0.0010410608956590295,0.00018941641610581428
hobby,wings,neg,1.0370330301157082e-06,0.00018941641610581428
drosophila,wings,pos,0.017984895035624504,0.00018941641610581428
egret,wings,pos,0.0200212225317955,0.00018941641610581428
gadfly,wings,pos,0.008196152746677399,0.00018941641610581428
dragonfly,wings,pos,0.35744646191596985,0.00018941641610581428
lark,wings,pos,0.04905220866203308,0.00018941641610581428
platypus,wings,neg,0.08719714730978012,0.00018941641610581428
trolley,wings,neg,0.0001427359093213454,0.00018941641610581428
