concept,prop_s,label,prob,prob_control
trawler,-,neg,3.8431748475049467e-29,3.931153506072805e-27
jeep,-,pos,3.8431748475049467e-29,3.931153506072805e-27
bus,-,pos,4.2720425881270785e-06,2.361742554057855e-05
oxcart,-,pos,3.8431748475049467e-29,3.931153506072805e-27
sleigh,-,neg,3.8431748475049467e-29,3.931153506072805e-27
motorcycle,-,pos,3.8431748475049467e-29,3.931153506072805e-27
streamliner,-,pos,3.8431748475049467e-29,3.931153506072805e-27
minivan,-,pos,3.8431748475049467e-29,3.931153506072805e-27
sidecar,-,pos,3.8431748475049467e-29,3.931153506072805e-27
chassis,-,pos,3.8431748475049467e-29,3.931153506072805e-27
tram,-,pos,3.8431748475049467e-29,3.931153506072805e-27
wagon,-,pos,1.144566454058804e-06,2.77418394034612e-06
truck,-,pos,3.8431748475049467e-29,3.931153506072805e-27
backhoe,-,pos,3.8431748475049467e-29,3.931153506072805e-27
heap,-,neg,3.8431748475049467e-29,3.931153506072805e-27
windshield,-,neg,3.8431748475049467e-29,3.931153506072805e-27
train,-,pos,3.311483169454732e-06,1.3981275515106972e-06
racer,-,pos,3.8431748475049467e-29,3.931153506072805e-27
piton,-,neg,3.8431748475049467e-29,3.931153506072805e-27
stanhope,-,pos,3.8431748475049467e-29,3.931153506072805e-27
phaeton,-,pos,3.8431748475049467e-29,3.931153506072805e-27
bike,-,pos,1.3382357337832218e-06,2.045523615379352e-06
auto,-,pos,4.734380443238706e-09,1.6479626765431021e-06
bicycle,-,pos,3.8431748475049467e-29,3.931153506072805e-27
ship,-,neg,1.1281290426268242e-06,3.8522801332874224e-05
lorry,-,pos,3.8431748475049467e-29,3.931153506072805e-27
wheelbase,-,pos,3.8431748475049467e-29,3.931153506072805e-27
diesel,-,neg,3.8431748475049467e-29,3.931153506072805e-27
ambulance,-,pos,3.8431748475049467e-29,3.931153506072805e-27
hearse,-,pos,3.8431748475049467e-29,3.931153506072805e-27
streetcar,-,pos,3.8431748475049467e-29,3.931153506072805e-27
