concept,prop_s,label,prob,prob_control
butter,blue,neg,1.6844386996339722e-09,1.9190642408517533e-09
lemon,blue,neg,3.092458769060613e-07,1.9190642408517533e-09
zebra,blue,neg,6.14928865161346e-07,1.9190642408517533e-09
balloon,blue,pos,3.7867202706820535e-08,1.9190642408517533e-09
cider,blue,neg,7.249735034520199e-09,1.9190642408517533e-09
grapefruit,blue,neg,5.381640448831604e-07,1.9190642408517533e-09
lawn,blue,neg,9.379582444069001e-09,1.9190642408517533e-09
onion,blue,neg,1.0536867733890176e-07,1.9190642408517533e-09
recorder,blue,pos,1.0795702110044658e-08,1.9190642408517533e-09
salad,blue,neg,2.513474761656198e-09,1.9190642408517533e-09
fish,blue,pos,8.149044106176007e-08,1.9190642408517533e-09
beet,blue,neg,1.1747724926181036e-07,1.9190642408517533e-09
crab,blue,neg,1.0064141520160774e-07,1.9190642408517533e-09
taxi,blue,pos,1.4990286345550885e-08,1.9190642408517533e-09
lagoon,blue,pos,1.0459892507697077e-07,1.9190642408517533e-09
locust,blue,neg,3.8486756892552876e-08,1.9190642408517533e-09
tongue,blue,neg,3.5788355035037966e-07,1.9190642408517533e-09
cockroach,blue,neg,7.431978588101629e-08,1.9190642408517533e-09
piano,blue,pos,1.2076072586353348e-08,1.9190642408517533e-09
pot,blue,pos,1.2255991777010422e-09,1.9190642408517533e-09
panther,blue,neg,1.5527676566762239e-07,1.9190642408517533e-09
aubergine,blue,neg,3.9180832800411736e-08,1.9190642408517533e-09
cheese,blue,pos,8.940683748903666e-09,1.9190642408517533e-09
squirrel,blue,neg,2.6118394558238833e-08,1.9190642408517533e-09
hair,blue,neg,1.8927948985947296e-08,1.9190642408517533e-09
orchid,blue,pos,1.9584674646466738e-06,1.9190642408517533e-09
rooster,blue,neg,7.538259794159785e-09,1.9190642408517533e-09
robin,blue,neg,1.6673088509833178e-07,1.9190642408517533e-09
millipede,blue,neg,6.598452273465227e-08,1.9190642408517533e-09
wand,blue,pos,9.520580590560712e-08,1.9190642408517533e-09
feeling,blue,pos,1.1096938923316202e-09,1.9190642408517533e-09
daisy,blue,neg,1.2002234939245682e-07,1.9190642408517533e-09
egg,blue,neg,4.338642440870899e-07,1.9190642408517533e-09
cucumber,blue,neg,1.994313834075001e-07,1.9190642408517533e-09
goldfish,blue,neg,1.0423629248634825e-07,1.9190642408517533e-09
cabbage,blue,neg,2.543164079327198e-08,1.9190642408517533e-09
flamingo,blue,neg,4.8831903853852054e-08,1.9190642408517533e-09
bushbaby,blue,neg,1.2071927812939975e-07,1.9190642408517533e-09
flame,blue,pos,1.2890038192381326e-07,1.9190642408517533e-09
cloak,blue,pos,3.440631246576231e-07,1.9190642408517533e-09
thought,blue,neg,7.681897784550529e-09,1.9190642408517533e-09
clarinet,blue,neg,4.9874110175096575e-08,1.9190642408517533e-09
eye,blue,pos,6.731935400239308e-07,1.9190642408517533e-09
ketchup,blue,neg,1.4501771339325842e-08,1.9190642408517533e-09
suit,blue,pos,4.118323602142482e-07,1.9190642408517533e-09
bellflower,blue,pos,2.997211936417443e-07,1.9190642408517533e-09
boot,blue,pos,1.1463699323144283e-08,1.9190642408517533e-09
ring,blue,pos,3.883617694100394e-08,1.9190642408517533e-09
crow,blue,neg,3.8082731634858646e-08,1.9190642408517533e-09
truffle,blue,neg,6.9761092902354e-08,1.9190642408517533e-09
currant,blue,pos,6.442248263738293e-07,1.9190642408517533e-09
apricot,blue,neg,1.0587584142740525e-07,1.9190642408517533e-09
jaguar,blue,neg,3.02328430734633e-07,1.9190642408517533e-09
