concept,prop_s,label,prob,prob_control
soup,hot,pos,2.790650626138813e-07,2.0919289411835962e-08
fire,hot,pos,1.2583255681875016e-07,2.0919289411835962e-08
fume,hot,pos,1.0516309885133523e-06,2.0919289411835962e-08
chocolate,hot,pos,2.3137483822210925e-06,2.0919289411835962e-08
firebox,hot,pos,4.4299412138570915e-07,2.0919289411835962e-08
igniter,hot,pos,3.6990327316743787e-06,2.0919289411835962e-08
oven,hot,pos,2.7768799100158503e-06,2.0919289411835962e-08
icicle,hot,neg,9.49802029026614e-07,2.0919289411835962e-08
jungle,hot,pos,2.9968336434649245e-07,2.0919289411835962e-08
bottle,hot,pos,4.397416475399041e-08,2.0919289411835962e-08
pudding,hot,pos,2.603483721941302e-07,2.0919289411835962e-08
summertime,hot,pos,1.2857290698775614e-07,2.0919289411835962e-08
tile,hot,pos,2.761553901109437e-07,2.0919289411835962e-08
hearth,hot,pos,2.4606325155218656e-07,2.0919289411835962e-08
toilet,hot,neg,1.287016271334096e-08,2.0919289411835962e-08
pancake,hot,pos,2.3254177961007372e-07,2.0919289411835962e-08
sauna,hot,pos,5.188332579564303e-06,2.0919289411835962e-08
griddle,hot,pos,4.300552802760649e-07,2.0919289411835962e-08
fondue,hot,pos,2.8762853432340307e-08,2.0919289411835962e-08
tub,hot,pos,5.024860456614988e-07,2.0919289411835962e-08
jug,hot,pos,3.1411352097165945e-07,2.0919289411835962e-08
winter,hot,neg,1.2326685805419402e-07,2.0919289411835962e-08
heat,hot,pos,7.219390454338281e-07,2.0919289411835962e-08
tortilla,hot,pos,2.1473435936059104e-06,2.0919289411835962e-08
space,hot,pos,3.220792223146418e-06,2.0919289411835962e-08
shower,hot,pos,1.1225879461562727e-06,2.0919289411835962e-08
quesadilla,hot,pos,1.4771695759918657e-06,2.0919289411835962e-08
flatbread,hot,pos,2.685807771740656e-07,2.0919289411835962e-08
boiler,hot,pos,4.827621680192351e-08,2.0919289411835962e-08
puree,hot,pos,8.519899665770936e-07,2.0919289411835962e-08
syrup,hot,pos,3.0991608923613967e-07,2.0919289411835962e-08
popcorn,hot,pos,3.7227471239020815e-07,2.0919289411835962e-08
ice,hot,neg,7.066299758662353e-07,2.0919289411835962e-08
freezer,hot,neg,1.042472774770431e-08,2.0919289411835962e-08
spiciness,hot,pos,3.9948079688656435e-07,2.0919289411835962e-08
pot,hot,pos,8.784490432844905e-07,2.0919289411835962e-08
kitchen,hot,pos,1.760645318427123e-07,2.0919289411835962e-08
nose,hot,neg,1.6783217233751202e-06,2.0919289411835962e-08
