concept,prop_s,label,prob,prob_control
fork,dangerous,neg,2.7445909989154416e-09,1.4824005356572911e-09
buckshot,dangerous,pos,8.583404209616674e-09,1.4824005356572911e-09
flack,dangerous,neg,4.510231299548195e-09,1.4824005356572911e-09
shaft,dangerous,pos,2.7382998091241006e-09,1.4824005356572911e-09
conspiracy,dangerous,pos,1.4806914583331832e-09,1.4824005356572911e-09
bucket,dangerous,neg,1.7525100814985706e-10,1.4824005356572911e-09
punk,dangerous,pos,2.1149146878229885e-09,1.4824005356572911e-09
traitor,dangerous,pos,1.1768767071984598e-09,1.4824005356572911e-09
racketeer,dangerous,pos,1.0532068550617169e-08,1.4824005356572911e-09
tuck,dangerous,neg,2.1885908640939533e-09,1.4824005356572911e-09
turtle,dangerous,neg,4.814639797956488e-09,1.4824005356572911e-09
hornbill,dangerous,neg,1.1856984727387498e-08,1.4824005356572911e-09
fire,dangerous,pos,4.815822393644531e-11,1.4824005356572911e-09
bayonet,dangerous,pos,7.549049385602302e-09,1.4824005356572911e-09
gentamicin,dangerous,neg,3.4776617141574206e-09,1.4824005356572911e-09
mafioso,dangerous,pos,1.4536062131753624e-08,1.4824005356572911e-09
crowbar,dangerous,neg,2.283073952114023e-09,1.4824005356572911e-09
plot,dangerous,pos,2.0937649392038793e-09,1.4824005356572911e-09
gutter,dangerous,neg,4.224811611663881e-09,1.4824005356572911e-09
adze,dangerous,pos,3.508852652878147e-10,1.4824005356572911e-09
mallet,dangerous,pos,5.734931640688501e-09,1.4824005356572911e-09
clipper,dangerous,neg,3.164870587823998e-09,1.4824005356572911e-09
hijacker,dangerous,pos,1.1847274272724917e-09,1.4824005356572911e-09
rod,dangerous,neg,9.38201516476056e-09,1.4824005356572911e-09
coyote,dangerous,pos,4.146491594525514e-09,1.4824005356572911e-09
malaria,dangerous,pos,4.027838507170145e-09,1.4824005356572911e-09
war,dangerous,pos,1.8977330817904203e-10,1.4824005356572911e-09
beetle,dangerous,neg,1.192329701638073e-08,1.4824005356572911e-09
bow,dangerous,pos,9.622373120521388e-09,1.4824005356572911e-09
typhlopidae,dangerous,neg,3.0925533245351744e-09,1.4824005356572911e-09
poison,dangerous,pos,5.528522528663871e-09,1.4824005356572911e-09
terrorism,dangerous,pos,3.743643173237388e-09,1.4824005356572911e-09
tiger,dangerous,pos,5.869405406144779e-09,1.4824005356572911e-09
crease,dangerous,neg,4.268433606569033e-09,1.4824005356572911e-09
thief,dangerous,pos,5.998187280198408e-09,1.4824005356572911e-09
pistol,dangerous,pos,1.347138622875832e-09,1.4824005356572911e-09
hippopotamus,dangerous,pos,8.620331115594126e-09,1.4824005356572911e-09
methamphetamine,dangerous,pos,9.99576776905542e-09,1.4824005356572911e-09
club,dangerous,pos,2.635114348947809e-09,1.4824005356572911e-09
isoniazid,dangerous,neg,5.732496077825999e-08,1.4824005356572911e-09
cardinalate,dangerous,neg,1.0078525569667818e-08,1.4824005356572911e-09
weapon,dangerous,pos,5.808498126924633e-09,1.4824005356572911e-09
gang,dangerous,pos,4.814113552242816e-09,1.4824005356572911e-09
