,bert-base-uncased,bert-large-uncased,roberta-base,roberta-large
square,-0.002568260404017326,-0.0017300889337837526,-4.609149635435927e-07,-1.3675844793351184e-06
roll,-0.0012566792930443701,0.0002028860129149588,-6.192835476410094e-08,-2.4366444522112534e-06
cold,-0.0010685088887666602,0.0002951456251052871,-8.148356044002627e-08,-2.5857403130192746e-07
round,-0.0007136177023992401,-0.0010344093342848412,-1.2572270574635799e-08,-3.1888218270079904e-07
black,-0.000528345532511288,-0.008326339542102344,-3.259319873853278e-07,1.4507717729298393e-07
sweet,-0.0004654421635768777,0.0015279649645865423,7.239505461549474e-08,4.789787733882341e-07
yellow,-0.0004225991028078621,-0.0015216554959472106,-1.4835997601163392e-06,-7.05776836375071e-07
red,-0.00020688404291159534,-0.0001519600676450246,-8.316487998127877e-07,-2.095755007346369e-07
juicy,-0.00016958712462335755,0.0001596951731218316,-2.1096885280968434e-09,-5.580812006766215e-26
fly,-1.1126372553738051e-05,0.0003563786628322653,-8.801057693394454e-09,-4.924645466299096e-26
swim,1.799247895810244e-06,1.3673553700768567e-06,-6.911972852184145e-09,-6.859855738936238e-27
warm,0.00036252791292380737,-0.0009301469592180277,-4.418160544096844e-08,3.259676563054406e-08
dangerous,0.00036681221290406785,0.0003578086864552823,-4.2835136034853265e-09,-2.661840447505848e-25
blue,0.0012891020092831353,0.000404822313121808,-8.491945946096065e-07,2.09100580266174e-07
wheels,0.0017690970161216698,0.007416718523367307,-2.2642007406515103e-10,-9.746844315314383e-28
green,0.0047626293549557965,0.006887750155555294,2.28642037084269e-06,3.9979286882621145e-06
hot,0.0056603446702595105,0.0018626157852238215,-7.680080056205425e-07,6.954644135461981e-07
used_in_cooking,0.013611084829156204,0.03500783529576301,5.6449500069708855e-06,6.925618425892489e-07
made_of_wood,0.013677738420665275,0.02863096782070998,1.0546481404642492e-05,1.8058616634435667e-05
female,0.014026432895726294,0.006741848425249538,-8.008818088010689e-10,-1.3283223561541668e-26
wings,0.0209041959909968,0.012205456288175154,5.386669987203358e-09,-8.620167350792948e-07
lay_eggs,0.08540508247158002,0.04329033372347199,-3.238650678604236e-09,-5.264571291936551e-29
