concept,prop_s,label,prob,prob_control
man,-,neg,6.226156983757392e-05,3.5903987736674026e-05
actor,-,neg,5.2287209655332845e-06,3.134768746804184e-07
prince,-,neg,3.0942000961431404e-08,2.9712284188576632e-08
king,-,neg,1.0964621651510242e-05,1.9899832750525093e-06
human,-,neg,3.290989752713358e-06,1.3821350819398504e-07
cockerel,-,neg,3.0942000961431404e-08,2.9712284188576632e-08
robert,-,neg,3.0942000961431404e-08,2.9712284188576632e-08
bull,-,neg,7.241396815516055e-06,7.425833814522775e-07
peacock,-,neg,3.0942000961431404e-08,2.9712284188576632e-08
uncle,-,neg,1.382111936010233e-08,1.8026663495263051e-09
brother,-,neg,4.3570683061489035e-08,9.815158463766238e-09
bitch,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
actress,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
queen,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
woman,-,pos,0.00028430766542442143,3.3353896924381843e-06
princess,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
girl,-,pos,0.00011593314411584288,1.4290153558249585e-06
sylph,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
cyprian,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
amazon,-,pos,6.878644143171186e-08,1.5237473505180787e-08
vamp,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
housewife,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
siren,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
coquette,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
nymph,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
dame,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
dowager,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
widow,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
mistress,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
missus,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
chit,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
lass,-,pos,1.1956984735661536e-06,1.0560494700939671e-07
concubine,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
courtesan,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
flapper,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
maiden,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
damsel,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
granny,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
witch,-,pos,2.1118117729201913e-05,3.385709703707107e-07
temptress,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
marchioness,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
gentlewoman,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
peri,-,pos,3.0942000961431404e-08,2.9712284188576632e-08
