concept,prop_s,label,prob,prob_control
freezer,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
atmosphere,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
vinyl,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
basement,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
toe,-,pos,4.773015049863716e-08,5.6291856592727285e-11
foam,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
cream,-,pos,4.0226007058663527e-07,5.870335328950205e-08
tea,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
cake,-,pos,3.9813720320580614e-08,5.903165734011395e-10
soda,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
winter,-,pos,5.092719220556319e-06,1.108231506563584e-09
pie,-,pos,1.2560465734168247e-07,1.8054542749723623e-07
tortilla,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
smoke,-,neg,5.7394586860937125e-09,2.8640918525724146e-09
pillow,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
glass,-,pos,3.9594883105564804e-07,1.0934740402035459e-07
flame,-,neg,7.720307593217512e-08,7.218766473471305e-09
dogwood,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
kettle,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
milk,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
sky,-,pos,0.0004888041294179857,5.150905479922585e-08
heating,-,neg,5.7394586860937125e-09,2.8640918525724146e-09
beer,-,pos,6.246475692250897e-08,2.577068336506727e-08
casserole,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
steam,-,neg,3.379272328629668e-08,3.1011113121870437e-10
dust,-,neg,5.2093888314175274e-08,6.459380141876636e-09
iceberg,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
summertime,-,neg,5.7394586860937125e-09,2.8640918525724146e-09
tile,-,neg,1.3268298459934158e-08,2.536820531418016e-09
bathtub,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
shoe,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
outfit,-,neg,5.7394586860937125e-09,2.8640918525724146e-09
water,-,pos,2.0611336367437616e-05,4.0970388681671466e-07
fireplace,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
surface,-,pos,9.197499650781538e-08,2.9596752132432513e-11
rain,-,pos,7.055401169964171e-07,5.480182974082481e-10
finger,-,pos,1.3359575945504076e-10,2.1824204943232672e-10
problem,-,neg,2.5899502986703737e-08,5.285234294660768e-08
lemonade,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
fridge,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
heat,-,neg,1.768075890140608e-07,4.9035442373224214e-08
lightning,-,neg,5.7394586860937125e-09,2.8640918525724146e-09
toilet,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
pavement,-,pos,5.7394586860937125e-09,2.8640918525724146e-09
