,bert-base-uncased,bert-large-uncased,roberta-base,roberta-large
square,-1.6021822048175838,-1.4539625939780536,-1.263184610720247,-1.5934788224777745
juicy,-0.8733122640784783,-1.3109138890326086,-0.5425888874547409,-0.7679610804171886
fly,-0.6918704237729083,-0.5358323968059036,-0.07273383464517513,-1.3138049907609073
hot,-0.6639569860434078,-1.3848763692306,-0.5224712326782874,-0.762593863213846
cold,-0.5776870574368527,-0.8094621967327122,-1.2415091856531133,-1.1395042982692911
sweet,-0.4299030924534556,-0.9186683423112533,-0.42892058138410305,-0.5302197495467438
yellow,-0.40856247404106516,-0.2713457950969518,-0.16599199020788424,-0.8454136533488594
red,-0.3955160733581503,0.229666542199632,-0.010560764217864338,-0.20915564085744354
swim,-0.30105660997193895,-0.3299417080356416,-0.4364561273999541,-1.4517871019908855
warm,-0.25145119685982986,-0.3246563004497536,-0.45609631184168753,-0.9084758701896245
roll,-0.1585717065961092,-0.02477259720638214,-0.4178479629076577,0.06820101055399164
green,-0.1441792303836138,0.24181935833635992,-0.33760873803521374,-0.45277816039957175
dangerous,-0.11067282101022258,0.1425508369718529,-0.07199639437394034,-0.2032383136267415
round,-0.09674121499284993,-0.4509432981295507,-0.20266871594411295,-0.5405366641133726
lay_eggs,-0.0637586455930701,-0.0781548200329012,-0.3493565282763127,-0.2540885028772685
black,-0.02137316778199161,-0.3922401614724871,-0.3898911222984476,-0.40542705225745923
made_of_wood,0.1174382357100276,-0.21851956333024997,-0.1803935780538951,-0.20694269324622752
wings,0.20601982355487747,0.06803018147398265,-0.2579778408707511,0.0610445630727634
blue,0.36817853737899087,0.5814348432547887,-0.21807399111390935,0.042988187517500887
female,0.4873984676031581,0.5505621418741574,-0.16871407975295555,-0.4487872060088778
used_in_cooking,0.7189146718901944,0.6288606712326401,-0.06314903458927446,-0.0898009056575586
wheels,0.8598598056163924,-0.24501189891140085,-0.20446321376182242,-0.9567988365018367
