concept,prop_s,label,prob,prob_control
cylinder,-,pos,0.000721460091881454,1.2420910024957266e-05
spindle,-,pos,4.167090423834452e-07,3.913741238648072e-05
rifling,-,pos,4.167090423834452e-07,3.913741238648072e-05
bead,-,pos,4.167090423834452e-07,3.913741238648072e-05
grip,-,pos,4.394918050820706e-06,5.215219516685465e-06
blade,-,neg,0.004966245964169502,6.68984284857288e-05
eyelet,-,pos,4.167090423834452e-07,3.913741238648072e-05
propeller,-,pos,0.00012773888010997325,1.0275984095642343e-05
roller,-,pos,3.124616341665387e-05,9.807255082705524e-06
windowpane,-,neg,4.167090423834452e-07,3.913741238648072e-05
lever,-,pos,0.00013867449888493866,1.0474973350937944e-05
bearing,-,pos,1.5533539681200637e-06,5.239972324488917e-06
handlebar,-,neg,4.167090423834452e-07,3.913741238648072e-05
lathe,-,pos,4.167090423834452e-07,3.913741238648072e-05
backboard,-,neg,4.167090423834452e-07,3.913741238648072e-05
flywheel,-,pos,4.167090423834452e-07,3.913741238648072e-05
brick,-,neg,2.412108915450517e-05,9.997729648603126e-05
footrest,-,pos,4.167090423834452e-07,3.913741238648072e-05
pencil,-,neg,1.3756725820712745e-05,3.189038034179248e-05
marble,-,pos,4.748811625177041e-05,0.00014249073865357786
cart,-,pos,0.0015421892749145627,1.5634769852113095e-06
pig,-,pos,3.924528937204741e-05,3.341122646816075e-05
nozzle,-,pos,4.167090423834452e-07,3.913741238648072e-05
tub,-,pos,5.5927546782186255e-05,2.011142896662932e-06
paint,-,pos,6.343050245050108e-06,5.476410296978429e-05
car,-,pos,0.09460064023733139,0.00027502625016495585
hammer,-,neg,0.001313069136813283,0.00019511293794494122
headstock,-,neg,4.167090423834452e-07,3.913741238648072e-05
candle,-,pos,2.3612376025994308e-05,3.741142791113816e-05
windscreen,-,pos,4.167090423834452e-07,3.913741238648072e-05
wiffle,-,pos,4.167090423834452e-07,3.913741238648072e-05
polyurethane,-,neg,4.167090423834452e-07,3.913741238648072e-05
kiln,-,neg,4.167090423834452e-07,3.913741238648072e-05
quoit,-,pos,4.167090423834452e-07,3.913741238648072e-05
tile,-,neg,2.9587534299935214e-05,3.718394054885721e-06
headboard,-,neg,4.167090423834452e-07,3.913741238648072e-05
wagon,-,pos,0.00504865450784564,4.606793027051026e-06
plunger,-,neg,4.167090423834452e-07,3.913741238648072e-05
rail,-,pos,3.630419814726338e-05,0.00012827591854147613
wheelbarrow,-,pos,4.167090423834452e-07,3.913741238648072e-05
mandrel,-,pos,4.167090423834452e-07,3.913741238648072e-05
shovel,-,neg,0.0001824203645810485,8.998398698167875e-06
gearshift,-,neg,4.167090423834452e-07,3.913741238648072e-05
donkey,-,neg,2.7110787414130755e-05,2.6827299734577537e-05
projectile,-,neg,0.0004087501729372889,5.030867214372847e-06
leather,-,neg,3.878255301970057e-05,0.00010254378867102787
acrylic,-,neg,4.167090423834452e-07,3.913741238648072e-05
ski,-,neg,1.934662213898264e-05,1.2394565601425711e-05
washer,-,pos,4.167090423834452e-07,3.913741238648072e-05
plastic,-,pos,1.5223559785226826e-05,8.130058267852291e-05
saw,-,pos,4.4153668568469584e-05,4.1816285374807194e-05
breechblock,-,neg,4.167090423834452e-07,3.913741238648072e-05
pipe,-,pos,0.0001432158169336617,2.8221200409461744e-05
millstone,-,pos,4.167090423834452e-07,3.913741238648072e-05
shaft,-,pos,0.0005324529483914375,4.0667100620339625e-06
dowel,-,pos,4.167090423834452e-07,3.913741238648072e-05
bolt,-,pos,0.00022332958178594708,3.998030024376931e-06
bumper,-,neg,5.249882087809965e-05,1.1933056157431565e-05
handrail,-,neg,4.167090423834452e-07,3.913741238648072e-05
piston,-,neg,5.655597124132328e-05,2.4927553567977156e-06
glass,-,pos,0.001390852965414524,0.00038200709968805313
noseband,-,neg,4.167090423834452e-07,3.913741238648072e-05
kickstand,-,neg,4.167090423834452e-07,3.913741238648072e-05
paddle,-,neg,4.203932985546999e-05,1.2105631867598277e-05
ball,-,pos,0.03015143610537052,5.452365803648718e-05
nut,-,pos,9.106664037972223e-06,2.3769222025293857e-05
wheel,-,pos,0.0036521898582577705,1.5171987797657494e-05
pen,-,pos,5.8798275858862326e-05,3.2003277738112956e-05
sprocket,-,pos,4.167090423834452e-07,3.913741238648072e-05
windshield,-,neg,0.0003035129338968545,2.3871105440775864e-05
tappet,-,pos,4.167090423834452e-07,3.913741238648072e-05
caber,-,neg,4.167090423834452e-07,3.913741238648072e-05
shoe,-,neg,3.343194839544594e-05,6.763063720427454e-05
vaporizer,-,neg,4.167090423834452e-07,3.913741238648072e-05
ferrule,-,neg,4.167090423834452e-07,3.913741238648072e-05
cloth,-,pos,3.578436007956043e-05,2.5828783691395074e-05
fireplace,-,neg,2.9428814741550013e-05,2.1245145035209134e-05
bike,-,pos,0.0006393802468664944,2.6511022952036e-05
bottle,-,pos,0.001932383282110095,9.011813381221145e-05
peg,-,neg,4.251044174452545e-06,4.078311121702427e-06
manhole,-,neg,4.167090423834452e-07,3.913741238648072e-05
driveshaft,-,neg,4.167090423834452e-07,3.913741238648072e-05
chamfer,-,neg,4.167090423834452e-07,3.913741238648072e-05
axle,-,pos,2.317091275472194e-05,1.0843607924471144e-05
barrel,-,pos,0.016817113384604454,3.1104543722904054e-06
chock,-,neg,4.167090423834452e-07,3.913741238648072e-05
tyre,-,pos,1.199246798933018e-05,2.647396968313842e-06
tire,-,pos,0.00010497822950128466,1.0823017873917706e-05
bucket,-,pos,0.00044122201506979764,2.9095413992763497e-05
skateboard,-,pos,4.167090423834452e-07,3.913741238648072e-05
fusee,-,neg,4.167090423834452e-07,3.913741238648072e-05
brake,-,neg,1.5665609680581838e-05,8.204050573112909e-06
surfboard,-,neg,4.167090423834452e-07,3.913741238648072e-05
grindstone,-,pos,4.167090423834452e-07,3.913741238648072e-05
radiator,-,pos,4.167090423834452e-07,3.913741238648072e-05
hubcap,-,pos,4.167090423834452e-07,3.913741238648072e-05
chimney,-,neg,4.675863692682469e-06,1.9849940144922584e-05
