concept,prop_s,label,prob,prob_control,prob_norm
fork,-,neg,4.994186838302994e-06,8.309365512104705e-06,-3.315178673801711e-06
buckshot,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
flack,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
shaft,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
conspiracy,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
bucket,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
punk,-,pos,6.710806246701395e-06,6.427841526601696e-06,2.8296472009969875e-07
traitor,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
racketeer,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
tuck,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
turtle,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
hornbill,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
fire,-,pos,7.265532622113824e-05,9.030541150423232e-06,6.3624785070715e-05
bayonet,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
gentamicin,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
mafioso,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
crowbar,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
plot,-,pos,4.2470222183510487e-07,2.9794109650538303e-06,-2.5547087432187254e-06
gutter,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
adze,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
mallet,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
clipper,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
hijacker,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
rod,-,neg,4.720255219581304e-06,3.1420868253917433e-06,1.5781683941895608e-06
coyote,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
malaria,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
war,-,pos,5.9039750340161845e-05,8.648489892948419e-05,-2.7445148589322343e-05
beetle,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
bow,-,pos,1.8043856471194886e-05,3.4222111935378052e-06,1.462164527765708e-05
typhlopidae,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
poison,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
terrorism,-,pos,9.942664291884284e-06,1.8722436152529554e-06,8.070420676631329e-06
tiger,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
crease,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
thief,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
pistol,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
hippopotamus,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
methamphetamine,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
club,-,pos,6.248862973734504e-06,2.9737107070104685e-06,3.275152266724035e-06
isoniazid,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
cardinalate,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
weapon,-,pos,9.26245775190182e-06,7.591870144096902e-06,1.6705876078049187e-06
gang,-,pos,2.496239858373883e-06,3.006090992130339e-06,-5.09851133756456e-07
file,-,neg,2.015502786889556e-06,0.00022621096286457032,-0.00022419546007768076
hoe,-,neg,8.936071935750078e-06,1.1491955547171528e-06,7.786876381032926e-06
sulfonamide,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
lister,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
killer,-,pos,7.242340416269144e-06,4.542279384622816e-06,2.700061031646328e-06
venom,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
scimitar,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
pusher,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
stamper,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
jack,-,neg,1.3686571037396789e-05,3.0544902074325364e-06,1.0632080829964252e-05
prelacy,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
blunderbuss,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
alligator,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
sword,-,pos,3.6179442304273834e-06,6.777819635317428e-06,-3.1598754048900446e-06
freebooter,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
handgun,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
iodine,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
nightstick,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
phencyclidine,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
snake,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
buffer,-,neg,4.04379427720869e-08,3.3547012208146043e-06,-3.3142632780425174e-06
hack,-,pos,1.4997214066170272e-06,1.7563560277267243e-06,-2.5663462110969704e-07
pentobarbital,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
sniper,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
blade,-,pos,6.839224624854978e-06,2.4919005227275193e-05,-1.8079780602420215e-05
businessman,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
virus,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
reduviidae,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
naproxen,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
bill,-,neg,4.9411833060730714e-06,2.8566400942509063e-05,-2.362521763643599e-05
acaridae,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
revolver,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
goat,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
nursing,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
grenade,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
attack,-,pos,4.592969617078779e-06,3.257819798818673e-06,1.3351498182601063e-06
looter,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
doodlebug,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
